"region","c_price","discount_rate","allow_eor","early_adoption","plant_mw_th","technology","npv_min","npv_max","npv_mean","mean_co2_transport_distance_km","mean_biomass_transport_distance_km","mean_capital_cost_mg","mean_om_cost_mg","mean_biomass_cost_mg","mean_co2_transport_cost_mg","mean_net_cdr","mean_carbon_removal_revenue_mg","mean_electricity_production_mwh","mean_electricity_revenue_mg","mean_agronomic_revenue_mg","mean_lcoe_usd_mwh","mean_cost_of_co2_avoided","mean_abatement_efficiency","mean_total_capex_m"
"China",50,0.15,TRUE,TRUE,50,"BES",-201.033476656249,-100.52641297146,-133.724854976267,NA,117.182354530696,144.841685297539,6.95240089428189,57.577353179606,0,0.559406635028888,27.9703317514447,1.472501178,47.3548831616118,NA,142.18762096734,368.44336303647,0,68.5291501786788
"Europe",50,0.15,TRUE,TRUE,50,"BES",-238.284476488059,-60.6749405833444,-135.833492920322,NA,105.932243283908,144.841685297539,6.95240089428189,80.9058364925947,0,0.144817542365224,7.24087711826118,1.472501178,89.2450883351634,NA,158.030381340999,Inf,0,68.5291501786788
"India",50,0.15,TRUE,TRUE,50,"BES",-178.759080886722,-71.9459241566754,-93.8316938002632,NA,98.6717286943114,144.841685297539,6.95240089428189,66.1403158005203,0,0.84844261988734,42.4221309943667,1.472501178,56.5772930847722,NA,148.002871066186,229.159465789486,0,68.5291501786788
"US",100,0.15,TRUE,TRUE,50,"BES",-232.625967313328,-67.2266114215496,-151.377002568727,NA,199.98946647775,144.841685297539,6.95240089428189,130.058419971662,0,0.481706157867164,48.1706157867164,1.472501178,77.9900842776848,NA,191.410716931518,686.117278057091,0,68.5291501786788
"China",100,0.15,TRUE,TRUE,50,"BES",-174.761432855969,-72.1522067385104,-105.754523224823,NA,117.182354530696,144.841685297539,6.95240089428189,57.577353179606,0,0.559406635028888,55.9406635028894,1.472501178,47.3548831616118,NA,142.18762096734,368.44336303647,0,68.5291501786788
"Europe",100,0.15,TRUE,TRUE,50,"BES",-238.991112359892,5.51364625949049,-128.592615802061,NA,105.932243283908,144.841685297539,6.95240089428189,80.9058364925947,0,0.144817542365224,14.4817542365224,1.472501178,89.2450883351634,NA,158.030381340999,Inf,0,68.5291501786788
"India",100,0.15,TRUE,TRUE,50,"BES",-138.088074355632,-29.4427195533908,-51.4095628058963,NA,98.6717286943114,144.841685297539,6.95240089428189,66.1403158005203,0,0.84844261988734,84.8442619887334,1.472501178,56.5772930847722,NA,148.002871066186,229.159465789486,0,68.5291501786788
"US",150,0.15,TRUE,TRUE,50,"BES",-225.027382926584,-31.9807563644201,-127.395883990632,NA,199.98946647775,144.841685297539,6.95240089428189,130.058419971662,0,0.481706157867164,72.2559236800747,1.472501178,77.9900842776848,NA,191.410716931518,686.117278057091,0,68.5291501786788
"China",150,0.15,TRUE,TRUE,50,"BES",-148.48938905569,-43.7780005055603,-77.7841914733782,NA,117.182354530696,144.841685297539,6.95240089428189,57.577353179606,0,0.559406635028888,83.910995254334,1.472501178,47.3548831616118,NA,142.18762096734,368.44336303647,0,68.5291501786788
"Europe",150,0.15,TRUE,TRUE,50,"BES",-239.697748231725,71.7022331023255,-121.351738683799,NA,105.932243283908,144.841685297539,6.95240089428189,80.9058364925947,0,0.144817542365224,21.7226313547835,1.472501178,89.2450883351634,NA,158.030381340999,Inf,0,68.5291501786788
"India",150,0.15,TRUE,TRUE,50,"BES",-97.4170678245429,13.0604850498938,-8.98743181153016,NA,98.6717286943114,144.841685297539,6.95240089428189,66.1403158005203,0,0.84844261988734,127.266392983101,1.472501178,56.5772930847722,NA,148.002871066186,229.159465789486,0,68.5291501786788
"US",200,0.15,TRUE,TRUE,50,"BES",-217.42879853984,21.7460668990462,-103.414765412539,NA,199.98946647775,144.841685297539,6.95240089428189,130.058419971662,0,0.481706157867164,96.3412315734329,1.472501178,77.9900842776848,NA,191.410716931518,686.117278057091,0,68.5291501786788
"China",200,0.15,TRUE,TRUE,50,"BES",-122.21734525541,-15.4037942726102,-49.8138597219338,NA,117.182354530696,144.841685297539,6.95240089428189,57.577353179606,0,0.559406635028888,111.881327005779,1.472501178,47.3548831616118,NA,142.18762096734,368.44336303647,0,68.5291501786788
"Europe",200,0.15,TRUE,TRUE,50,"BES",-240.404384103558,137.89081994516,-114.110861565537,NA,105.932243283908,144.841685297539,6.95240089428189,80.9058364925947,0,0.144817542365224,28.9635084730447,1.472501178,89.2450883351634,NA,158.030381340999,Inf,0,68.5291501786788
"India",200,0.15,TRUE,TRUE,50,"BES",-56.7460612934534,55.5636896531784,33.4346991828365,NA,98.6717286943114,144.841685297539,6.95240089428189,66.1403158005203,0,0.84844261988734,169.688523977467,1.472501178,56.5772930847722,NA,148.002871066186,229.159465789486,0,68.5291501786788
"US",0,0.02,FALSE,TRUE,50,"BES",-140.530595089872,11.0495767213946,-92.0466987279704,NA,199.98946647775,42.4633064836628,2.03823871121581,130.058419971662,0,0.481706157867164,0,1.472501178,77.9900842776848,NA,118.546570810649,421.193862399672,0,68.5291501786788
"China",0,0.02,FALSE,TRUE,50,"BES",-120.012979459586,-21.6080782074678,-54.4026457307663,NA,117.182354530696,42.4633064836628,2.03823871121581,57.577353179606,0,0.559406635028888,0,1.472501178,47.3548831616118,NA,69.3234748464718,176.59074376877,0,68.5291501786788
"Europe",0,0.02,FALSE,TRUE,50,"BES",-130.285299619283,25.0893554221131,-35.7818290416405,NA,105.932243283908,42.4633064836628,2.03823871121581,80.9058364925947,0,0.144817542365224,0,1.472501178,89.2450883351634,NA,85.1662352201278,Inf,0,68.5291501786788
"India",0,0.02,FALSE,TRUE,50,"BES",-112.137546420869,-7.15658776301723,-28.9612837976877,NA,98.6717286943114,42.4633064836628,2.03823871121581,66.1403158005203,0,0.84844261988734,0,1.472501178,56.5772930847722,NA,75.1387249453171,102.700567957,0,68.5291501786788
"US",50,0.02,FALSE,TRUE,50,"BES",-132.932010703128,25.5577531483939,-68.0655801498775,NA,199.98946647775,42.4633064836628,2.03823871121581,130.058419971662,0,0.481706157867164,24.0853078933582,1.472501178,77.9900842776848,NA,118.546570810649,421.193862399672,0,68.5291501786788
"China",50,0.02,FALSE,TRUE,50,"BES",-93.7409356593061,6.76612802548229,-26.4323139793249,NA,117.182354530696,42.4633064836628,2.03823871121581,57.577353179606,0,0.559406635028888,27.9703317514447,1.472501178,47.3548831616118,NA,69.3234748464718,176.59074376877,0,68.5291501786788
"Europe",50,0.02,FALSE,TRUE,50,"BES",-130.991935491116,46.6176004135984,-28.5409519233792,NA,105.932243283908,42.4633064836628,2.03823871121581,80.9058364925947,0,0.144817542365224,7.24087711826118,1.472501178,89.2450883351634,NA,85.1662352201278,Inf,0,68.5291501786788
"India",50,0.02,FALSE,TRUE,50,"BES",-71.4665398897793,35.3466168402674,13.4608471966792,NA,98.6717286943114,42.4633064836628,2.03823871121581,66.1403158005203,0,0.84844261988734,42.4221309943667,1.472501178,56.5772930847722,NA,75.1387249453171,102.700567957,0,68.5291501786788
"US",100,0.02,FALSE,TRUE,50,"BES",-125.333426316385,40.0659295753932,-44.0844615717837,NA,199.98946647775,42.4633064836628,2.03823871121581,130.058419971662,0,0.481706157867164,48.1706157867164,1.472501178,77.9900842776848,NA,118.546570810649,421.193862399672,0,68.5291501786788
"China",100,0.02,FALSE,TRUE,50,"BES",-67.4688918590266,35.1403342584324,1.53801777211965,NA,117.182354530696,42.4633064836628,2.03823871121581,57.577353179606,0,0.559406635028888,55.9406635028894,1.472501178,47.3548831616118,NA,69.3234748464718,176.59074376877,0,68.5291501786788
"Europe",100,0.02,FALSE,TRUE,50,"BES",-131.698571362949,112.806187256433,-21.3000748051188,NA,105.932243283908,42.4633064836628,2.03823871121581,80.9058364925947,0,0.144817542365224,14.4817542365224,1.472501178,89.2450883351634,NA,85.1662352201278,Inf,0,68.5291501786788
"India",100,0.02,FALSE,TRUE,50,"BES",-30.7955333586897,77.849821443552,55.8829781910458,NA,98.6717286943114,42.4633064836628,2.03823871121581,66.1403158005203,0,0.84844261988734,84.8442619887334,1.472501178,56.5772930847722,NA,75.1387249453171,102.700567957,0,68.5291501786788
"US",150,0.02,FALSE,TRUE,50,"BES",-117.734841929641,75.3117846325226,-20.1033429936901,NA,199.98946647775,42.4633064836628,2.03823871121581,130.058419971662,0,0.481706157867164,72.2559236800747,1.472501178,77.9900842776848,NA,118.546570810649,421.193862399672,0,68.5291501786788
"China",150,0.02,FALSE,TRUE,50,"BES",-41.1968480587471,63.5145404913825,29.5083495235644,NA,117.182354530696,42.4633064836628,2.03823871121581,57.577353179606,0,0.559406635028888,83.910995254334,1.472501178,47.3548831616118,NA,69.3234748464718,176.59074376877,0,68.5291501786788
"Europe",150,0.02,FALSE,TRUE,50,"BES",-132.405207234782,178.994774099268,-14.0591976868574,NA,105.932243283908,42.4633064836628,2.03823871121581,80.9058364925947,0,0.144817542365224,21.7226313547835,1.472501178,89.2450883351634,NA,85.1662352201278,Inf,0,68.5291501786788
"India",150,0.02,FALSE,TRUE,50,"BES",9.87547317239984,120.353026046837,98.3051091854123,NA,98.6717286943114,42.4633064836628,2.03823871121581,66.1403158005203,0,0.84844261988734,127.266392983101,1.472501178,56.5772930847722,NA,75.1387249453171,102.700567957,0,68.5291501786788
"US",200,0.02,FALSE,TRUE,50,"BES",-110.136257542898,129.038607895989,3.8777755844033,NA,199.98946647775,42.4633064836628,2.03823871121581,130.058419971662,0,0.481706157867164,96.3412315734329,1.472501178,77.9900842776848,NA,118.546570810649,421.193862399672,0,68.5291501786788
"China",200,0.02,FALSE,TRUE,50,"BES",-14.9248042584676,91.8887467243325,57.4786812750088,NA,117.182354530696,42.4633064836628,2.03823871121581,57.577353179606,0,0.559406635028888,111.881327005779,1.472501178,47.3548831616118,NA,69.3234748464718,176.59074376877,0,68.5291501786788
"Europe",200,0.02,FALSE,TRUE,50,"BES",-133.111843106616,245.183360942103,-6.81832056859603,NA,105.932243283908,42.4633064836628,2.03823871121581,80.9058364925947,0,0.144817542365224,28.9635084730447,1.472501178,89.2450883351634,NA,85.1662352201278,Inf,0,68.5291501786788
"India",200,0.02,FALSE,TRUE,50,"BES",50.5464797034894,162.856230650121,140.72724017978,NA,98.6717286943114,42.4633064836628,2.03823871121581,66.1403158005203,0,0.84844261988734,169.688523977467,1.472501178,56.5772930847722,NA,75.1387249453171,102.700567957,0,68.5291501786788
"US",0,0.08,FALSE,TRUE,50,"BES",-184.561298964838,-32.9811271535716,-136.077402602936,NA,199.98946647775,84.4773368987069,4.05491217113793,130.058419971662,0,0.481706157867164,0,1.472501178,77.9900842776848,NA,148.448552916206,529.91311124931,0,68.5291501786788
"China",0,0.08,FALSE,TRUE,50,"BES",-164.043683334552,-65.638782082434,-98.4333496057345,NA,117.182354530696,84.4773368987069,4.05491217113793,57.577353179606,0,0.559406635028888,0,1.472501178,47.3548831616118,NA,99.2254569520268,255.323205393049,0,68.5291501786788
"Europe",0,0.08,FALSE,TRUE,50,"BES",-174.316003494249,-18.9413484528531,-79.8125329166078,NA,105.932243283908,84.4773368987069,4.05491217113793,80.9058364925947,0,0.144817542365224,0,1.472501178,89.2450883351634,NA,115.068217325686,Inf,0,68.5291501786788
"India",0,0.08,FALSE,TRUE,50,"BES",-156.168250295835,-51.1872916379834,-72.991987672654,NA,98.6717286943114,84.4773368987069,4.05491217113793,66.1403158005203,0,0.84844261988734,0,1.472501178,56.5772930847722,NA,105.040707050874,154.596759724658,0,68.5291501786788
"US",50,0.08,FALSE,TRUE,50,"BES",-176.962714578095,-18.4729507265723,-112.096284024843,NA,199.98946647775,84.4773368987069,4.05491217113793,130.058419971662,0,0.481706157867164,24.0853078933582,1.472501178,77.9900842776848,NA,148.448552916206,529.91311124931,0,68.5291501786788
"China",50,0.08,FALSE,TRUE,50,"BES",-137.771639534272,-37.2645758494839,-70.4630178542906,NA,117.182354530696,84.4773368987069,4.05491217113793,57.577353179606,0,0.559406635028888,27.9703317514447,1.472501178,47.3548831616118,NA,99.2254569520268,255.323205393049,0,68.5291501786788
"Europe",50,0.08,FALSE,TRUE,50,"BES",-175.022639366082,2.58689653863217,-72.5716557983446,NA,105.932243283908,84.4773368987069,4.05491217113793,80.9058364925947,0,0.144817542365224,7.24087711826118,1.472501178,89.2450883351634,NA,115.068217325686,Inf,0,68.5291501786788
"India",50,0.08,FALSE,TRUE,50,"BES",-115.497243764745,-8.68408703469882,-30.5698566782864,NA,98.6717286943114,84.4773368987069,4.05491217113793,66.1403158005203,0,0.84844261988734,42.4221309943667,1.472501178,56.5772930847722,NA,105.040707050874,154.596759724658,0,68.5291501786788
"US",100,0.08,FALSE,TRUE,50,"BES",-169.364130191351,-3.96477429957304,-88.1151654467498,NA,199.98946647775,84.4773368987069,4.05491217113793,130.058419971662,0,0.481706157867164,48.1706157867164,1.472501178,77.9900842776848,NA,148.448552916206,529.91311124931,0,68.5291501786788
"China",100,0.08,FALSE,TRUE,50,"BES",-111.499595733993,-8.8903696165338,-42.4926861028464,NA,117.182354530696,84.4773368987069,4.05491217113793,57.577353179606,0,0.559406635028888,55.9406635028894,1.472501178,47.3548831616118,NA,99.2254569520268,255.323205393049,0,68.5291501786788
"Europe",100,0.08,FALSE,TRUE,50,"BES",-175.729275237915,68.7754833814671,-65.3307786800847,NA,105.932243283908,84.4773368987069,4.05491217113793,80.9058364925947,0,0.144817542365224,14.4817542365224,1.472501178,89.2450883351634,NA,115.068217325686,Inf,0,68.5291501786788
"India",100,0.08,FALSE,TRUE,50,"BES",-74.8262372336559,33.8191175685858,11.8522743160798,NA,98.6717286943114,84.4773368987069,4.05491217113793,66.1403158005203,0,0.84844261988734,84.8442619887334,1.472501178,56.5772930847722,NA,105.040707050874,154.596759724658,0,68.5291501786788
"US",150,0.08,FALSE,TRUE,50,"BES",-161.765545804607,31.2810807575564,-64.1340468686566,NA,199.98946647775,84.4773368987069,4.05491217113793,130.058419971662,0,0.481706157867164,72.2559236800747,1.472501178,77.9900842776848,NA,148.448552916206,529.91311124931,0,68.5291501786788
"China",150,0.08,FALSE,TRUE,50,"BES",-85.2275519337133,19.4838366164163,-14.522354351402,NA,117.182354530696,84.4773368987069,4.05491217113793,57.577353179606,0,0.559406635028888,83.910995254334,1.472501178,47.3548831616118,NA,99.2254569520268,255.323205393049,0,68.5291501786788
"Europe",150,0.08,FALSE,TRUE,50,"BES",-176.435911109749,134.964070224302,-58.0899015618228,NA,105.932243283908,84.4773368987069,4.05491217113793,80.9058364925947,0,0.144817542365224,21.7226313547835,1.472501178,89.2450883351634,NA,115.068217325686,Inf,0,68.5291501786788
"India",150,0.08,FALSE,TRUE,50,"BES",-34.1552307025664,76.3223221718704,54.2744053104466,NA,98.6717286943114,84.4773368987069,4.05491217113793,66.1403158005203,0,0.84844261988734,127.266392983101,1.472501178,56.5772930847722,NA,105.040707050874,154.596759724658,0,68.5291501786788
"US",200,0.08,FALSE,TRUE,50,"BES",-154.166961417864,85.0079040210228,-40.1529282905629,NA,199.98946647775,84.4773368987069,4.05491217113793,130.058419971662,0,0.481706157867164,96.3412315734329,1.472501178,77.9900842776848,NA,148.448552916206,529.91311124931,0,68.5291501786788
"China",200,0.08,FALSE,TRUE,50,"BES",-58.9555081334338,47.8580428493664,13.4479774000427,NA,117.182354530696,84.4773368987069,4.05491217113793,57.577353179606,0,0.559406635028888,111.881327005779,1.472501178,47.3548831616118,NA,99.2254569520268,255.323205393049,0,68.5291501786788
"Europe",200,0.08,FALSE,TRUE,50,"BES",-177.142546981582,201.152657067137,-50.8490244435626,NA,105.932243283908,84.4773368987069,4.05491217113793,80.9058364925947,0,0.144817542365224,28.9635084730447,1.472501178,89.2450883351634,NA,115.068217325686,Inf,0,68.5291501786788
"India",200,0.08,FALSE,TRUE,50,"BES",6.51577582852318,118.825526775155,96.6965363048128,NA,98.6717286943114,84.4773368987069,4.05491217113793,66.1403158005203,0,0.84844261988734,169.688523977467,1.472501178,56.5772930847722,NA,105.040707050874,154.596759724658,0,68.5291501786788
"US",0,0.15,FALSE,TRUE,50,"BES",-247.823136086815,-96.2429642755481,-199.339239724914,NA,199.98946647775,144.841685297539,6.95240089428189,130.058419971662,0,0.481706157867164,0,1.472501178,77.9900842776848,NA,191.410716931518,686.117278057091,0,68.5291501786788
"China",0,0.15,FALSE,TRUE,50,"BES",-227.305520456528,-128.900619204411,-161.69518672771,NA,117.182354530696,144.841685297539,6.95240089428189,57.577353179606,0,0.559406635028888,0,1.472501178,47.3548831616118,NA,142.18762096734,368.44336303647,0,68.5291501786788
"Europe",0,0.15,FALSE,TRUE,50,"BES",-237.577840616226,-82.2031855748296,-143.074370038581,NA,105.932243283908,144.841685297539,6.95240089428189,80.9058364925947,0,0.144817542365224,0,1.472501178,89.2450883351634,NA,158.030381340999,Inf,0,68.5291501786788
"India",0,0.15,FALSE,TRUE,50,"BES",-219.430087417812,-114.44912875996,-136.253824794629,NA,98.6717286943114,144.841685297539,6.95240089428189,66.1403158005203,0,0.84844261988734,0,1.472501178,56.5772930847722,NA,148.002871066186,229.159465789486,0,68.5291501786788
"US",50,0.15,FALSE,TRUE,50,"BES",-240.224551700071,-81.7347878485489,-175.35812114682,NA,199.98946647775,144.841685297539,6.95240089428189,130.058419971662,0,0.481706157867164,24.0853078933582,1.472501178,77.9900842776848,NA,191.410716931518,686.117278057091,0,68.5291501786788
"China",50,0.15,FALSE,TRUE,50,"BES",-201.033476656249,-100.52641297146,-133.724854976267,NA,117.182354530696,144.841685297539,6.95240089428189,57.577353179606,0,0.559406635028888,27.9703317514447,1.472501178,47.3548831616118,NA,142.18762096734,368.44336303647,0,68.5291501786788
"Europe",50,0.15,FALSE,TRUE,50,"BES",-238.284476488059,-60.6749405833444,-135.833492920322,NA,105.932243283908,144.841685297539,6.95240089428189,80.9058364925947,0,0.144817542365224,7.24087711826118,1.472501178,89.2450883351634,NA,158.030381340999,Inf,0,68.5291501786788
"India",50,0.15,FALSE,TRUE,50,"BES",-178.759080886722,-71.9459241566754,-93.8316938002632,NA,98.6717286943114,144.841685297539,6.95240089428189,66.1403158005203,0,0.84844261988734,42.4221309943667,1.472501178,56.5772930847722,NA,148.002871066186,229.159465789486,0,68.5291501786788
"US",100,0.15,FALSE,TRUE,50,"BES",-232.625967313328,-67.2266114215496,-151.377002568727,NA,199.98946647775,144.841685297539,6.95240089428189,130.058419971662,0,0.481706157867164,48.1706157867164,1.472501178,77.9900842776848,NA,191.410716931518,686.117278057091,0,68.5291501786788
"China",100,0.15,FALSE,TRUE,50,"BES",-174.761432855969,-72.1522067385104,-105.754523224823,NA,117.182354530696,144.841685297539,6.95240089428189,57.577353179606,0,0.559406635028888,55.9406635028894,1.472501178,47.3548831616118,NA,142.18762096734,368.44336303647,0,68.5291501786788
"Europe",100,0.15,FALSE,TRUE,50,"BES",-238.991112359892,5.51364625949049,-128.592615802061,NA,105.932243283908,144.841685297539,6.95240089428189,80.9058364925947,0,0.144817542365224,14.4817542365224,1.472501178,89.2450883351634,NA,158.030381340999,Inf,0,68.5291501786788
"India",100,0.15,FALSE,TRUE,50,"BES",-138.088074355632,-29.4427195533908,-51.4095628058963,NA,98.6717286943114,144.841685297539,6.95240089428189,66.1403158005203,0,0.84844261988734,84.8442619887334,1.472501178,56.5772930847722,NA,148.002871066186,229.159465789486,0,68.5291501786788
"US",150,0.15,FALSE,TRUE,50,"BES",-225.027382926584,-31.9807563644201,-127.395883990632,NA,199.98946647775,144.841685297539,6.95240089428189,130.058419971662,0,0.481706157867164,72.2559236800747,1.472501178,77.9900842776848,NA,191.410716931518,686.117278057091,0,68.5291501786788
"China",150,0.15,FALSE,TRUE,50,"BES",-148.48938905569,-43.7780005055603,-77.7841914733782,NA,117.182354530696,144.841685297539,6.95240089428189,57.577353179606,0,0.559406635028888,83.910995254334,1.472501178,47.3548831616118,NA,142.18762096734,368.44336303647,0,68.5291501786788
"Europe",150,0.15,FALSE,TRUE,50,"BES",-239.697748231725,71.7022331023255,-121.351738683799,NA,105.932243283908,144.841685297539,6.95240089428189,80.9058364925947,0,0.144817542365224,21.7226313547835,1.472501178,89.2450883351634,NA,158.030381340999,Inf,0,68.5291501786788
"India",150,0.15,FALSE,TRUE,50,"BES",-97.4170678245429,13.0604850498938,-8.98743181153016,NA,98.6717286943114,144.841685297539,6.95240089428189,66.1403158005203,0,0.84844261988734,127.266392983101,1.472501178,56.5772930847722,NA,148.002871066186,229.159465789486,0,68.5291501786788
"US",200,0.15,FALSE,TRUE,50,"BES",-217.42879853984,21.7460668990462,-103.414765412539,NA,199.98946647775,144.841685297539,6.95240089428189,130.058419971662,0,0.481706157867164,96.3412315734329,1.472501178,77.9900842776848,NA,191.410716931518,686.117278057091,0,68.5291501786788
"China",200,0.15,FALSE,TRUE,50,"BES",-122.21734525541,-15.4037942726102,-49.8138597219338,NA,117.182354530696,144.841685297539,6.95240089428189,57.577353179606,0,0.559406635028888,111.881327005779,1.472501178,47.3548831616118,NA,142.18762096734,368.44336303647,0,68.5291501786788
"Europe",200,0.15,FALSE,TRUE,50,"BES",-240.404384103558,137.89081994516,-114.110861565537,NA,105.932243283908,144.841685297539,6.95240089428189,80.9058364925947,0,0.144817542365224,28.9635084730447,1.472501178,89.2450883351634,NA,158.030381340999,Inf,0,68.5291501786788
"India",200,0.15,FALSE,TRUE,50,"BES",-56.7460612934534,55.5636896531784,33.4346991828365,NA,98.6717286943114,144.841685297539,6.95240089428189,66.1403158005203,0,0.84844261988734,169.688523977467,1.472501178,56.5772930847722,NA,148.002871066186,229.159465789486,0,68.5291501786788
"US",0,0.02,TRUE,FALSE,50,"BES",-140.530595089872,11.0495767213946,-92.0466987279704,NA,199.98946647775,42.4633064836628,2.03823871121581,130.058419971662,0,0.481706157867164,0,1.472501178,77.9900842776848,NA,118.546570810649,421.193862399672,0,68.5291501786788
"China",0,0.02,TRUE,FALSE,50,"BES",-120.012979459586,-21.6080782074678,-54.4026457307663,NA,117.182354530696,42.4633064836628,2.03823871121581,57.577353179606,0,0.559406635028888,0,1.472501178,47.3548831616118,NA,69.3234748464718,176.59074376877,0,68.5291501786788
"Europe",0,0.02,TRUE,FALSE,50,"BES",-130.285299619283,25.0893554221131,-35.7818290416405,NA,105.932243283908,42.4633064836628,2.03823871121581,80.9058364925947,0,0.144817542365224,0,1.472501178,89.2450883351634,NA,85.1662352201278,Inf,0,68.5291501786788
"India",0,0.02,TRUE,FALSE,50,"BES",-112.137546420869,-7.15658776301723,-28.9612837976877,NA,98.6717286943114,42.4633064836628,2.03823871121581,66.1403158005203,0,0.84844261988734,0,1.472501178,56.5772930847722,NA,75.1387249453171,102.700567957,0,68.5291501786788
"US",50,0.02,TRUE,FALSE,50,"BES",-132.932010703128,25.5577531483939,-68.0655801498775,NA,199.98946647775,42.4633064836628,2.03823871121581,130.058419971662,0,0.481706157867164,24.0853078933582,1.472501178,77.9900842776848,NA,118.546570810649,421.193862399672,0,68.5291501786788
"China",50,0.02,TRUE,FALSE,50,"BES",-93.7409356593061,6.76612802548229,-26.4323139793249,NA,117.182354530696,42.4633064836628,2.03823871121581,57.577353179606,0,0.559406635028888,27.9703317514447,1.472501178,47.3548831616118,NA,69.3234748464718,176.59074376877,0,68.5291501786788
"Europe",50,0.02,TRUE,FALSE,50,"BES",-130.991935491116,46.6176004135984,-28.5409519233792,NA,105.932243283908,42.4633064836628,2.03823871121581,80.9058364925947,0,0.144817542365224,7.24087711826118,1.472501178,89.2450883351634,NA,85.1662352201278,Inf,0,68.5291501786788
"India",50,0.02,TRUE,FALSE,50,"BES",-71.4665398897793,35.3466168402674,13.4608471966792,NA,98.6717286943114,42.4633064836628,2.03823871121581,66.1403158005203,0,0.84844261988734,42.4221309943667,1.472501178,56.5772930847722,NA,75.1387249453171,102.700567957,0,68.5291501786788
"US",100,0.02,TRUE,FALSE,50,"BES",-125.333426316385,40.0659295753932,-44.0844615717837,NA,199.98946647775,42.4633064836628,2.03823871121581,130.058419971662,0,0.481706157867164,48.1706157867164,1.472501178,77.9900842776848,NA,118.546570810649,421.193862399672,0,68.5291501786788
"China",100,0.02,TRUE,FALSE,50,"BES",-67.4688918590266,35.1403342584324,1.53801777211965,NA,117.182354530696,42.4633064836628,2.03823871121581,57.577353179606,0,0.559406635028888,55.9406635028894,1.472501178,47.3548831616118,NA,69.3234748464718,176.59074376877,0,68.5291501786788
"Europe",100,0.02,TRUE,FALSE,50,"BES",-131.698571362949,112.806187256433,-21.3000748051188,NA,105.932243283908,42.4633064836628,2.03823871121581,80.9058364925947,0,0.144817542365224,14.4817542365224,1.472501178,89.2450883351634,NA,85.1662352201278,Inf,0,68.5291501786788
"India",100,0.02,TRUE,FALSE,50,"BES",-30.7955333586897,77.849821443552,55.8829781910458,NA,98.6717286943114,42.4633064836628,2.03823871121581,66.1403158005203,0,0.84844261988734,84.8442619887334,1.472501178,56.5772930847722,NA,75.1387249453171,102.700567957,0,68.5291501786788
"US",150,0.02,TRUE,FALSE,50,"BES",-117.734841929641,75.3117846325226,-20.1033429936901,NA,199.98946647775,42.4633064836628,2.03823871121581,130.058419971662,0,0.481706157867164,72.2559236800747,1.472501178,77.9900842776848,NA,118.546570810649,421.193862399672,0,68.5291501786788
"China",150,0.02,TRUE,FALSE,50,"BES",-41.1968480587471,63.5145404913825,29.5083495235644,NA,117.182354530696,42.4633064836628,2.03823871121581,57.577353179606,0,0.559406635028888,83.910995254334,1.472501178,47.3548831616118,NA,69.3234748464718,176.59074376877,0,68.5291501786788
"Europe",150,0.02,TRUE,FALSE,50,"BES",-132.405207234782,178.994774099268,-14.0591976868574,NA,105.932243283908,42.4633064836628,2.03823871121581,80.9058364925947,0,0.144817542365224,21.7226313547835,1.472501178,89.2450883351634,NA,85.1662352201278,Inf,0,68.5291501786788
"India",150,0.02,TRUE,FALSE,50,"BES",9.87547317239984,120.353026046837,98.3051091854123,NA,98.6717286943114,42.4633064836628,2.03823871121581,66.1403158005203,0,0.84844261988734,127.266392983101,1.472501178,56.5772930847722,NA,75.1387249453171,102.700567957,0,68.5291501786788
"US",200,0.02,TRUE,FALSE,50,"BES",-110.136257542898,129.038607895989,3.8777755844033,NA,199.98946647775,42.4633064836628,2.03823871121581,130.058419971662,0,0.481706157867164,96.3412315734329,1.472501178,77.9900842776848,NA,118.546570810649,421.193862399672,0,68.5291501786788
"China",200,0.02,TRUE,FALSE,50,"BES",-14.9248042584676,91.8887467243325,57.4786812750088,NA,117.182354530696,42.4633064836628,2.03823871121581,57.577353179606,0,0.559406635028888,111.881327005779,1.472501178,47.3548831616118,NA,69.3234748464718,176.59074376877,0,68.5291501786788
"Europe",200,0.02,TRUE,FALSE,50,"BES",-133.111843106616,245.183360942103,-6.81832056859603,NA,105.932243283908,42.4633064836628,2.03823871121581,80.9058364925947,0,0.144817542365224,28.9635084730447,1.472501178,89.2450883351634,NA,85.1662352201278,Inf,0,68.5291501786788
"India",200,0.02,TRUE,FALSE,50,"BES",50.5464797034894,162.856230650121,140.72724017978,NA,98.6717286943114,42.4633064836628,2.03823871121581,66.1403158005203,0,0.84844261988734,169.688523977467,1.472501178,56.5772930847722,NA,75.1387249453171,102.700567957,0,68.5291501786788
"US",0,0.08,TRUE,FALSE,50,"BES",-184.561298964838,-32.9811271535716,-136.077402602936,NA,199.98946647775,84.4773368987069,4.05491217113793,130.058419971662,0,0.481706157867164,0,1.472501178,77.9900842776848,NA,148.448552916206,529.91311124931,0,68.5291501786788
"China",0,0.08,TRUE,FALSE,50,"BES",-164.043683334552,-65.638782082434,-98.4333496057345,NA,117.182354530696,84.4773368987069,4.05491217113793,57.577353179606,0,0.559406635028888,0,1.472501178,47.3548831616118,NA,99.2254569520268,255.323205393049,0,68.5291501786788
